Ameriflux QAQC information,,,,,,,,,,,,,,,,,,
"Extracted from variable ""FP_ls"" when running amf_chk_run.R/amfqaqc_main.R",,,,,,,,,,,,,,,,,,
Rosie Howard,,,,,,,,,,,,,,,,,,
12-Mar-25,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Name,Description,Units,Min,Max,Max_buff,Min_buff,Range,N,Sites,q001.01,q001.min,q999.99,q999.max,IQR.01,IQR.min,IQR.99,IQR.max
1,ALB,"Albedo, range 0-100",%,0,100,105,-5,100,35,35,-1.83E-15,-2.78E-15,1.00E+02,1.00E+02,2.47E+00,2.42362826,61.7406831,61.8427774
2,APAR,Absorbed PAR,µmolPhoton m-2 s-1,0,2300,2415,-115,2300,6,5,-8.80E+00,-9.26E+00,2.16E+03,2.16E+03,2.43E+02,241.6,619.192879,619.22808
3,CH4,Methane (CH4) mole fraction in wet air,nmolCH4 mol-1,0,15000,15750,-750,15000,56,45,4.83E+02,-2.26E+01,1.22E+04,1.45E+04,2.32E+01,23.02905706,382.7079663,414.5448095
4,CH4_MIXING_RATIO,Methane (CH4) in mole fraction of dry air,nmolCH4 mol-1,0,15000,15750,-750,15000,56,24,1.80E+03,1.79E+03,8.11E+03,8.37E+03,1.84E+01,18.34696797,389.9231364,569.8597959
5,CO,Carbon Monoxide (CO) mole fraction in wet air,nmolCO mol-1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,CO2,Carbon Dioxide (CO2) mole fraction in wet air,µmolCO2 mol-1,150,1200,1252.5,97.5,1050,867,339,1.97E+02,-5.37E+00,1.03E+03,1.21E+03,7.14E+00,6.1965227,82.3266164,208.1471544
7,CO2_MIXING_RATIO,Carbon Dioxide (CO2) in mole fraction of dry air,µmolCO2 mol-1,150,1200,1252.5,97.5,1050,495,76,2.57E+02,2.17E+02,8.54E+02,1.17E+03,6.86E+00,5.81247733,93.8704161,212.3561715
8,CO2_SIGMA,Standard deviation of carbon dioxide mole fraction in wet air,µmolCO2 mol-1,0,150,157.5,-7.5,150,29,28,0.00E+00,0.00E+00,1.52E+02,1.52E+02,2.56E-03,0.0024,7.5619608,7.5945035
9,CO2C13,"Stable isotopic composition of CO2 - C13 (i.e., d13C of CO2)",‰ (permil),NA,-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,COND_WATER,"Conductivity (i.e., electrical conductivity) of water",µS cm-1,0,10000,10500,-500,10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,D_SNOW,Snow depth,cm,0,500,525,-25,500,39,32,-1.81E+01,-2.17E+01,3.36E+02,3.75E+02,5.13E-01,0,149.0785368,149.3105432
12,DBH,Diameter of tree measured at breast height (1.3m) with continuous dendrometers,cm,0,500,525,-25,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,DO,Dissolved oxygen in water,µmol L-1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,EVI,Enhanced Vegetation Index,nondimensional,-1,1,1.1,-1.1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,FAPAR,"Fraction of absorbed PAR, range 0-100",%,0,100,105,-5,100,5,5,-3.23E+00,-3.24E+00,9.80E+01,9.80E+01,8.53E+01,85.15,90.3616,90.37
16,FC,Carbon Dioxide (CO2) turbulent flux (no storage correction),µmolCO2 m-2 s-1,-100,100,110,-110,200,422,370,-1.20E+02,-2.03E+02,1.19E+02,1.83E+02,3.17E-01,0.24228946,12.284678,28.916
17,FC_SSITC_TEST,"Results of the quality flagging for FC according to Foken et al 2004, based on a combination of Steady State and Integral Turbulence Characteristics tests by Foken and Wichura (1996) (i.e., 0, 1, 2)",nondimensional,0,2,2.1,-0.1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,FCH4,Methane (CH4) turbulent flux (no storage correction),nmolCH4 m-2 s-1,-500,4000,4225,-725,4500,71,49,-3.19E+03,-3.49E+03,4.64E+03,5.29E+03,3.23E+00,1.6376985,277.303335,341.62
19,FCH4_SSITC_TEST,"Results of the quality flagging for FCH4 according to Foken et al 2004, based on a combination of Steady State and Integral Turbulence Characteristics tests by Foken and Wichura (1996) (i.e., 0, 1, 2)",nondimensional,0,2,2.1,-0.1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
